Date,Time,Intraday Price,Day Ahead Price
9/2/2024,00:00 - 00:30,85.0,120.05
9/2/2024,00:30 - 01:00,83.31,120.05
9/2/2024,01:00 - 01:30,80.72,98.82
9/2/2024,01:30 - 02:00,81.35,98.82
9/2/2024,02:00 - 02:30,78.01,96.57
9/2/2024,02:30 - 03:00,80.41,96.57
9/2/2024,03:00 - 03:30,87.73,93.21
9/2/2024,03:30 - 04:00,81.78,93.21
9/2/2024,04:00 - 04:30,102.01,93.16
9/2/2024,04:30 - 05:00,97.8,93.16
9/2/2024,05:00 - 05:30,115.17,93.79
9/2/2024,05:30 - 06:00,123.04,93.79
9/2/2024,06:00 - 06:30,115.86,104.85
9/2/2024,06:30 - 07:00,121.24,104.85
9/2/2024,07:00 - 07:30,102.68,128.98
9/2/2024,07:30 - 08:00,108.81,128.98
9/2/2024,08:00 - 08:30,107.82,134.95
9/2/2024,08:30 - 09:00,106.72,134.95
9/2/2024,09:00 - 09:30,106.83,131.94
9/2/2024,09:30 - 10:00,103.83,131.94
9/2/2024,10:00 - 10:30,98.3,122.64
9/2/2024,10:30 - 11:00,96.36,122.64
9/2/2024,11:00 - 11:30,96.97,102.83
9/2/2024,11:30 - 12:00,91.94,102.83
9/2/2024,12:00 - 12:30,84.9,92.34
9/2/2024,12:30 - 13:00,85.31,92.34
9/2/2024,13:00 - 13:30,82.36,90.07
9/2/2024,13:30 - 14:00,81.49,90.07
9/2/2024,14:00 - 14:30,78.06,92.28
9/2/2024,14:30 - 15:00,78.08,92.28
9/2/2024,15:00 - 15:30,79.6,96.32
9/2/2024,15:30 - 16:00,80.31,96.32
9/2/2024,16:00 - 16:30,91.89,102.25
9/2/2024,16:30 - 17:00,88.46,102.25
9/2/2024,17:00 - 17:30,108.18,123.93
9/2/2024,17:30 - 18:00,109.86,123.93
9/2/2024,18:00 - 18:30,107.56,126.94
9/2/2024,18:30 - 19:00,104.61,126.94
9/2/2024,19:00 - 19:30,95.6,131.93
9/2/2024,19:30 - 20:00,93.43,131.93
9/2/2024,20:00 - 20:30,84.79,133.97
9/2/2024,20:30 - 21:00,84.5,133.97
9/2/2024,21:00 - 21:30,80.93,185.0
9/2/2024,21:30 - 22:00,87.01,185.0
9/2/2024,22:00 - 22:30,85.81,126.97
9/2/2024,22:30 - 23:00,85.87,126.97
9/2/2024,23:00 - 23:30,85.85,123.92
9/2/2024,23:30 - 00:00,84.78,123.92
9/3/2024,00:00 - 00:30,83.78,121.52
9/3/2024,00:30 - 01:00,82.32,121.52
9/3/2024,01:00 - 01:30,79.08,108.97
9/3/2024,01:30 - 02:00,78.18,108.97
9/3/2024,02:00 - 02:30,82.74,105.51
9/3/2024,02:30 - 03:00,81.32,105.51
9/3/2024,03:00 - 03:30,77.45,97.33
9/3/2024,03:30 - 04:00,81.42,97.33
9/3/2024,04:00 - 04:30,78.52,96.5
9/3/2024,04:30 - 05:00,78.43,96.5
9/3/2024,05:00 - 05:30,86.31,97.92
9/3/2024,05:30 - 06:00,97.05,97.92
9/3/2024,06:00 - 06:30,89.38,109.0
9/3/2024,06:30 - 07:00,105.44,109.0
9/3/2024,07:00 - 07:30,97.84,133.97
9/3/2024,07:30 - 08:00,99.23,133.97
9/3/2024,08:00 - 08:30,79.77,150.69
9/3/2024,08:30 - 09:00,89.13,150.69
9/3/2024,09:00 - 09:30,87.74,133.95
9/3/2024,09:30 - 10:00,79.44,133.95
9/3/2024,10:00 - 10:30,82.26,115.98
9/3/2024,10:30 - 11:00,77.75,115.98
9/3/2024,11:00 - 11:30,81.7,98.88
9/3/2024,11:30 - 12:00,83.07,98.88
9/3/2024,12:00 - 12:30,81.31,90.02
9/3/2024,12:30 - 13:00,79.94,90.02
9/3/2024,13:00 - 13:30,78.64,87.02
9/3/2024,13:30 - 14:00,80.79,87.02
9/3/2024,14:00 - 14:30,85.92,87.04
9/3/2024,14:30 - 15:00,85.56,87.04
9/3/2024,15:00 - 15:30,90.53,90.09
9/3/2024,15:30 - 16:00,83.67,90.09
9/3/2024,16:00 - 16:30,99.02,96.44
9/3/2024,16:30 - 17:00,104.08,96.44
9/3/2024,17:00 - 17:30,100.64,130.9
9/3/2024,17:30 - 18:00,104.35,130.9
9/3/2024,18:00 - 18:30,100.25,160.0
9/3/2024,18:30 - 19:00,101.6,160.0
9/3/2024,19:00 - 19:30,101.36,260.96
9/3/2024,19:30 - 20:00,98.39,260.96
9/3/2024,20:00 - 20:30,86.31,555.73
9/3/2024,20:30 - 21:00,76.62,555.73
9/3/2024,21:00 - 21:30,84.57,448.24
9/3/2024,21:30 - 22:00,81.68,448.24
9/3/2024,22:00 - 22:30,74.9,202.08
9/3/2024,22:30 - 23:00,80.3,202.08
9/3/2024,23:00 - 23:30,75.42,135.0
9/3/2024,23:30 - 00:00,72.53,135.0
9/4/2024,00:00 - 00:30,79.75,110.01
9/4/2024,00:30 - 01:00,78.9,110.01
9/4/2024,01:00 - 01:30,73.13,109.41
9/4/2024,01:30 - 02:00,75.41,109.41
9/4/2024,02:00 - 02:30,74.99,100.63
9/4/2024,02:30 - 03:00,72.53,100.63
9/4/2024,03:00 - 03:30,72.38,102.5
9/4/2024,03:30 - 04:00,71.33,102.5
9/4/2024,04:00 - 04:30,76.75,98.79
9/4/2024,04:30 - 05:00,74.79,98.79
9/4/2024,05:00 - 05:30,94.88,100.51
9/4/2024,05:30 - 06:00,101.65,100.51
9/4/2024,06:00 - 06:30,101.99,109.0
9/4/2024,06:30 - 07:00,109.05,109.0
9/4/2024,07:00 - 07:30,93.45,143.0
9/4/2024,07:30 - 08:00,91.63,143.0
9/4/2024,08:00 - 08:30,81.5,176.69
9/4/2024,08:30 - 09:00,75.89,176.69
9/4/2024,09:00 - 09:30,74.85,152.57
9/4/2024,09:30 - 10:00,73.97,152.57
9/4/2024,10:00 - 10:30,72.7,124.94
9/4/2024,10:30 - 11:00,71.4,124.94
9/4/2024,11:00 - 11:30,75.31,107.21
9/4/2024,11:30 - 12:00,79.66,107.21
9/4/2024,12:00 - 12:30,71.81,105.09
9/4/2024,12:30 - 13:00,74.07,105.09
9/4/2024,13:00 - 13:30,77.48,98.51
9/4/2024,13:30 - 14:00,75.91,98.51
9/4/2024,14:00 - 14:30,77.61,94.06
9/4/2024,14:30 - 15:00,79.64,94.06
9/4/2024,15:00 - 15:30,84.28,94.09
9/4/2024,15:30 - 16:00,87.36,94.09
9/4/2024,16:00 - 16:30,105.16,97.93
9/4/2024,16:30 - 17:00,115.83,97.93
9/4/2024,17:00 - 17:30,121.97,133.93
9/4/2024,17:30 - 18:00,120.04,133.93
9/4/2024,18:00 - 18:30,96.66,156.74
9/4/2024,18:30 - 19:00,95.69,156.74
9/4/2024,19:00 - 19:30,94.12,161.31
9/4/2024,19:30 - 20:00,85.42,161.31
9/4/2024,20:00 - 20:30,93.66,136.93
9/4/2024,20:30 - 21:00,90.36,136.93
9/4/2024,21:00 - 21:30,82.04,176.81
